"","시도","시군구","계약년도","이혼율","이동건","병원","스트레스","학원수","교통문화","문화시설","체육시설","재정자립도","지가변동률","토지거래현황","재정자주도","지역범죄안전등급","유아 천명당 보육시설수","혼인율","고령인구비율"
"41","경기도","양평군","2017","2.1",2334,10.36,27.9,"0.7","84.21",16.51,183,25,"3.58","21817",68.5,4,13.47,"4.1","22.23"
"42","경기도","양평군","2018","2.1",370,10.36,27.9,"0.76","80.82",16.51,183,24.3,"3.41","19481",70.3,3,12.98,"3.6","23.17"
"43","경기도","여주시","2016","2.4",423,17.24,29.5,"1.02","83.86",18.82,212,36.8,"2.25","13509",69.8,2,14.41,"4.8","17.73"
"44","경기도","연천군","2016","2.5",186,7.04,27.1,"0.87","82.04",10.89,147,20.4,"1.11","4333",71,5,16.43,"5.1","22.14"
"45","경기도","연천군","2017","2.4",-211,7.11,19.7,"0.86","83.22",11.01,147,23.5,"1.50","4675",71,4,16.26,"5.5","22.94"
"46","경기도","연천군","2018","2",-309,7.11,19.7,"0.85","72.4",11.01,147,21,"6.14","8323",68.2,4,17.92,"6","23.77"
"47","경기도","용인시","2017","1.7",3632,8.11,29.7,"1.77","84.25",4.18,1279,63.4,"2.24","67824",75.4,1,16.57,"4.6","11.64"
"48","경기도","용인시","2018","1.7",12488,8.11,29.7,"1.81","71.63",4.18,1279,62.1,"3.53","86903",73,2,16.57,"4.5","12.08"
"49","경기도","의왕시","2016","1.6",-498,12.75,27.2,"1.18","82.87",5.1,140,46,"3.17","6455",71.6,1,17.06,"4.8","10.79"
"50","경기도","의왕시","2017","1.7",-1048,12.81,28.4,"1.17","80.63",5.14,140,51.2,"4.17","10032",74.7,1,17.38,"4","11.68"
"51","경기도","이천시","2016","2.4",2297,9.28,29.3,"1.71","78.86",5.7,353,51.1,"2.39","19304",71,2,13.29,"5.4","12.07"
"52","경기도","이천시","2017","2",1633,9.12,30.3,"1.71","75.71",5.63,353,51,"2.76","21026",72.1,3,13.95,"5.1","12.64"
"53","경기도","이천시","2018","2.4",1055,9.12,30.3,"1.77","70.99",5.63,353,52.9,"3.14","19750",72.3,3,14.94,"5","13.07"
"54","경기도","파주시","2016","2.3",2666,9,35.5,"1.11","82.56",7.43,558,43.6,"1.17","26503",63.1,2,17.65,"5.5","12.07"
"55","경기도","파주시","2017","2.4",3180,9.69,28.4,"1.19","80.59",8.22,558,42.5,"2.81","27692",64.1,2,17.87,"5.4","12.53"
"56","경기도","파주시","2018","2.3",5899,9.69,28.4,"1.27","82.09",8.22,558,43.6,"9.53","43048",63,2,17.7,"5.3","12.81"
"57","경기도","평택시","2017","2.6",6048,8.29,30.8,"1.45","83.99",2.7,504,46.1,"7.55","63742",65.3,4,15.26,"6.1","11.61"
"58","경기도","하남시","2017","1.8",8516,3.71,26.9,"1.01","80.5",2.58,240,52.7,"3.89","28540",72,2,13.37,"5.4","11.54"
"59","경기도","하남시","2018","1.8",10284,3.71,26.9,"1.09","71.39",2.58,240,53.6,"5.26","34298",66.4,1,13.55,"5.6","11.91"
"60","경기도","화성시","2017","2.1",23914,6.85,31.9,"1.65","86.66",3.47,790,67.3,"4.09","85271",77.3,2,14.39,"6.6","8.40"
"61","경기도","화성시","2018","2.1",31487,6.85,31.9,"1.67","74.39",3.47,790,64.2,"3.99","98158",77.4,2,14.41,"6.8","8.37"
"62","서울특별시","강남구","2017","1.5",-5680,14.36,26.7,"4.04","84.84",5.03,1400,67.6,"4.94","18058",68.9,4,10.12,"4.9","11.68"
"63","서울특별시","강동구","2017","1.8",-4038,13.62,28.8,"1.53","82.59",2.29,665,34.8,"4.12","24648",57,3,14.34,"5.6","12.86"
"64","서울특별시","강북구","2016","2.2",-2197,6.08,30.8,"0.71","83.52",3.36,456,22.8,"2.40","9336",50.8,3,14.28,"4.6","16.49"
"65","서울특별시","강북구","2017","2.3",-1359,6.43,31.7,"0.7","78.6",3.7,456,25.4,"3.70","9058",53.8,4,14.66,"4.5","17.39"
"66","서울특별시","강북구","2018","2.2",-2212,6.43,31.7,"0.68","74.11",3.7,456,25.9,"5.13","8111",52.3,3,15.63,"4.3","18.20"
"67","서울특별시","강서구","2016","1.9",4042,5.96,28.4,"1.19","85.92",2.35,769,25.6,"3.24","31437",46.3,2,13.77,"7","11.90"
"68","서울특별시","강서구","2017","1.9",6182,5.88,29.9,"1.18","92.46",2.33,769,26.9,"5.48","37793",47.8,2,14.46,"6.9","12.61"
"69","서울특별시","강서구","2018","1.8",461,5.88,29.9,"1.18","84.94",2.33,769,26.5,"5.95","23834",47.5,3,15.86,"6.5","13.31"
"70","서울특별시","관악구","2016","1.9",793,4.83,32.4,"0.9","82.18",1.97,503,24.8,"2.67","12653",51.5,3,14.32,"7.1","13.15"
"71","서울특별시","관악구","2017","1.6",1273,4.66,27.2,"0.9","83.39",2.19,503,25.8,"4.05","12196",53.8,3,15.56,"6.4","13.85"
"72","서울특별시","광진구","2016","1.8",-1407,6.61,31,"1.2","88.52",2.52,677,32.3,"3.18","9224",60.4,4,14.31,"6.5","11.56"
"73","서울특별시","광진구","2017","1.7",1024,6.36,29.5,"1.24","88.19",2.52,677,33.5,"4.34","10855",61.9,4,14.76,"5.9","12.24"
"74","서울특별시","구로구","2017","1.9",-3554,9.54,25.3,"1.05","84.83",3.65,594,26.7,"3.72","15701",53.8,4,16.58,"6","14.17"
"75","서울특별시","금천구","2016","2.3",-900,8.63,27.5,"0.89","85.92",2.55,375,31.3,"2.41","11427",55.2,4,17.59,"5.7","13.58"
"76","서울특별시","금천구","2017","2.3",115,8.68,32.8,"0.91","85.08",2.55,375,30.2,"3.91","13304",55.9,4,18.17,"6.2","14.39"
"77","서울특별시","금천구","2018","2.3",135,8.68,32.8,"0.95","74.56",2.55,375,28.6,"4.69","16472",54.7,4,18.94,"5.5","15.11"
"78","서울특별시","노원구","2016","1.7",-3274,6.91,27.4,"1.4","87.22",2.47,569,19.2,"2.89","17567",47.6,2,19.58,"4.9","12.48"
"79","서울특별시","노원구","2017","1.8",-6236,7,26.2,"1.4","83.05",2.71,569,20.8,"4.35","16340",49.9,2,20.44,"4.4","13.38"
"80","서울특별시","노원구","2018","1.6",-4555,7,26.2,"1.37","74.32",2.71,569,21.1,"4.64","14643",48.3,2,21.67,"4.1","14.17"
"81","서울특별시","도봉구","2016","1.9",-2265,8.68,30.9,"1.07","88.15",3.45,379,23.8,"2.61","10509",55.1,1,18.02,"4.7","14.49"
"82","서울특별시","도봉구","2017","1.9",-2497,8.72,30.7,"1.05","89.08",3.49,379,26.1,"3.42","9877",57,1,18.68,"4.5","15.53"
"83","서울특별시","도봉구","2018","2.1",-2640,8.72,30.7,"0.99","74.2",3.49,379,25.6,"4.39","8988",54.5,1,19.53,"4.4","16.48"
"84","서울특별시","동대문구","2016","1.9",-2668,17.96,27.6,"1","85.88",2.82,584,29.5,"2.57","13496",54.3,4,15.35,"5.1","15.01"
"85","서울특별시","동대문구","2017","1.8",-1997,18.18,31.5,"1.03","85.27",2.85,584,28.9,"4.00","12540",55.3,4,16.17,"4.8","15.84"
"86","서울특별시","동대문구","2018","1.9",-861,18.18,31.5,"1.04","77.85",2.85,584,27.8,"6.24","15663",53.7,4,16.72,"5.1","16.37"
"87","서울특별시","동작구","2016","1.5",72,7.28,33.2,"1.16","84.63",1.75,488,33.1,"2.85","13274",56,3,12.48,"6.4","13.73"
"88","서울특별시","동작구","2017","1.5",-2159,7.3,29.3,"1.19","79.82",1.77,488,34.2,"4.48","13272",58,3,13.02,"5.8","14.40"
"89","서울특별시","마포구","2016","1.7",-3568,1.88,28.6,"1.59","83.73",3.16,399,40.9,"3.68","18521",59.3,4,12.33,"6.9","12.65"
