,시도,시군구,계약년도,이동건,병원,스트레스,학원수,교통문화,문화시설,재정자립도,지가변동률,토지거래현황,재정자주도,지역범죄안전등급,고령인구비율,종사자수,유치원수,사회복지,실거래가
102,서울특별시,송파구,2018,2410,9.9,25,1.58,80.86,3.01,47.7,5.94,25269,58.1,3,12.18,495.78,56,5.62,9868668.646
104,서울특별시,양천구,2018,-3990,5.88,31.2,2.29,77.05,1.91,31,5.08,12434,56.2,3,12.48,254.57,47,8.79,6639308.292
107,서울특별시,영등포구,2018,2237,15.21,29.7,1.27,79.71,2.98,42.8,6.3,20701,59.6,4,14.93,984.4,42,8.9,8096606.995
110,서울특별시,용산구,2018,667,4.39,21.8,0.69,69.84,6.98,46.2,8.6,11288,64.4,4,16.25,581.51,17,5.65,11414625.59
113,서울특별시,은평구,2018,-1440,6.81,22,1.08,71.77,2.47,23.9,5.41,21482,48.2,2,15.99,182.46,43,8.95,5197786.057
115,서울특별시,종로구,2017,1070,21.83,25.2,1.92,85.61,41.35,54.9,3.28,6769,72,5,16.82,1736.14,17,10.48,5931277.552
118,서울특별시,중구,2018,501,12.47,26.2,0.95,70.17,19.09,63.3,5.33,7058,71.1,5,17.3,3075.74,14,7.98,8092348.722
121,서울특별시,중랑구,2018,-1782,7.41,31.8,0.68,72.01,0.98,23.3,4.5,10825,50.6,4,15.31,251.72,33,10.95,5082156.737
123,인천광역시,강화군,2018,339,13.28,24.9,0.71,74.25,16,17.3,3.73,12215,57.9,4,30.7,278.76,20,67.64,1613521.604
126,인천광역시,남동구,2018,573,12.78,29.4,1.35,74.14,1.86,33.3,3.88,22221,43.6,3,11.59,429.92,85,15.07,3165353.695
129,인천광역시,서구,2018,9653,10.44,25,1.35,73.03,2.33,40.4,3.85,32283,45.4,2,9.28,348.35,85,16.06,3180461.225
132,인천광역시,연수구,2018,3720,5.23,24.9,1.78,76.49,3.28,45.5,3.89,25786,52.8,1,9.02,319.26,42,12.17,4241688.014
133,인천광역시,옹진군,2017,231,3.06,24.7,0.19,60.76,9.27,17.7,1.95,2752,61.8,2,22.42,317.16,10,32.79,1860550.727
