X,Y,CTPRVN_CD,CTP_ENG_NM,CTP_KOR_NM
126.991823835789,37.5519181289039,11,Seoul,서울특별시
129.069113792843,35.2103385848706,26,Busan,부산광역시
128.565358681999,35.8298145957631,27,Daegu,대구광역시
126.375515116585,37.5845710223089,28,Incheon,인천광역시
126.835434807872,35.1557282170845,29,Gwangju,광주광역시
127.394038753653,36.3397636035619,30,Daejeon,대전광역시
129.23757900635,35.5542219616494,31,Ulsan,울산광역시
127.258722014505,36.5607289688083,36,Sejong-si,세종특별자치시
127.181050092345,37.5343492279469,41,Gyeonggi-do,경기도
128.30089690812,37.7190426394453,42,Gangwon-do,강원도
127.831345710985,36.7387767849604,43,Chungcheongbuk-do,충청북도
126.849739252084,36.5294019948179,44,Chungcheongnam-do,충청남도
127.142738401723,35.715810624131,45,Jeollabuk-do,전라북도
126.905233167401,34.8781700234423,46,Jellanam-do,전라남도
128.748716038634,36.348625792208,47,Gyeongsangbuk-do,경상북도
128.261174771627,35.3244989123806,48,Gyeongsangnam-do,경상남도
126.55383952158,33.3869992278902,50,Jeju-do,제주특별자치도
