LinkID,평균시간,거리,시/도,시/군,유출인구,정류장수,,LinkID,평균속도시간,거리,시/도,시/군,유입인구,,가평군,880
1011537,,0.044,경기도,평택시,54090,1782,,1014494,0.000937172,0.034,서울특별시,구로구,159357,,,
1011538,0.004982029,0.272,경기도,평택시,54090,1782,,1014495,0.01233421,0.564,서울특별시,구로구,159357,,,
1011539,0.000656118,0.054,경기도,평택시,54090,1782,,1014496,0.01422839,0.484,서울특별시,구로구,159357,,,
1011540,0.000705313,0.03,경기도,평택시,54090,1782,,1014497,0.004134038,0.194,서울특별시,구로구,159357,,,
1011541,0.000694212,0.03,경기도,평택시,54090,1782,,1014498,0.006521891,0.32,서울특별시,구로구,159357,,,
1011542,0.000718339,0.057,경기도,평택시,54090,1782,,1014499,0.012532973,0.653,서울특별시,구로구,159357,,,
1011543,0.044915143,2.506,경기도,평택시,54090,1782,,1014502,0.001437445,0.025,서울특별시,구로구,159357,,,
1011544,0.052592766,2.506,경기도,평택시,54090,1782,,1014503,0.000539405,0.025,서울특별시,구로구,159357,,,
1011545,0.004335618,0.285,경기도,평택시,54090,1782,,1014504,0.012967615,0.225,서울특별시,구로구,159357,,,
1011546,0.000837618,0.062,경기도,평택시,54090,1782,,1014505,0.004890071,0.225,서울특별시,구로구,159357,,,
1011547,0.000922139,0.06,경기도,평택시,54090,1782,,1014506,0.006910122,0.286,서울특별시,구로구,159357,,,
1011548,0.074051442,3.539,경기도,평택시,54090,1782,,1014554,0.00171885,0.052,서울특별시,구로구,159357,,,
1011549,0.045139839,3.539,경기도,평택시,54090,1782,,1014555,0.001336497,0.051,서울특별시,구로구,159357,,,
1011750,0.016153352,0.509,경기도,김포시,76946,1086,,1014558,0.009743889,0.183,서울특별시,구로구,159357,,,
1011751,0.016421041,0.509,경기도,김포시,76946,1086,,1014563,0.00509724,0.229,서울특별시,구로구,159357,,,
1011752,0.042576217,0.981,경기도,김포시,76946,1086,,1014564,0.000830461,0.033,서울특별시,구로구,159357,,,
1011753,0.013170877,0.504,경기도,김포시,76946,1086,,1014565,0.000845487,0.042,서울특별시,구로구,159357,,,
1011754,0.011777505,0.478,경기도,김포시,76946,1086,,1014566,0.000843165,0.033,서울특별시,구로구,159357,,,
1011755,0.001266482,0.065,경기도,화성시,106864,2632,,1014567,0.000523536,0.012,서울특별시,구로구,159357,,,
1011756,0.070747404,2.044,경기도,화성시,106864,2632,,1014568,0.006873071,0.269,서울특별시,구로구,159357,,,
1011757,0.064051984,2.044,경기도,화성시,106864,2632,,1014580,0.030149691,1.348,서울특별시,구로구,159357,,,
1011758,0.000652113,0.015,경기도,화성시,106864,2632,,1014581,0.004589149,0.258,서울특별시,구로구,159357,,,
1011759,0.000500619,0.012,경기도,화성시,106864,2632,,1014582,0.000615664,0.037,서울특별시,구로구,159357,,,
1011760,0.029919109,1.539,경기도,화성시,106864,2632,,1014583,0.000965693,0.037,서울특별시,구로구,159357,,,
1011761,0.024974883,1.539,경기도,화성시,106864,2632,,1014584,0.01445705,0.518,서울특별시,구로구,159357,,,
1011762,0.00158148,0.064,경기도,화성시,106864,2632,,1014585,0.00875016,0.518,서울특별시,구로구,159357,,,
1011763,0.001285966,0.066,경기도,화성시,106864,2632,,1014608,0.003707823,0.133,서울특별시,구로구,159357,,,
1011764,0.000391883,0.02,경기도,화성시,106864,2632,,1014680,0.003697547,0.1,서울특별시,구로구,159357,,,
1011765,0.000696438,0.028,경기도,화성시,106864,2632,,1014701,0.010193562,0.136,서울특별시,구로구,159357,,,
1011766,0.001630901,0.066,경기도,화성시,106864,2632,,1014709,0.001221465,0.035,서울특별시,구로구,159357,,,
1011767,0.000792646,0.019,경기도,화성시,106864,2632,,1014710,0.000942347,0.035,서울특별시,구로구,159357,,,
1011768,0.000956432,0.022,경기도,화성시,106864,2632,,1014711,0.000408521,0.018,서울특별시,구로구,159357,,,
1011769,0.00070921,0.017,경기도,화성시,106864,2632,,1014712,0.000561615,0.018,서울특별시,구로구,159357,,,
1011770,0.000137159,0.007,경기도,화성시,106864,2632,,1014713,0.000918248,0.027,서울특별시,구로구,159357,,,
1011771,0.023297763,0.532,경기도,화성시,106864,2632,,1014714,0.000446237,0.017,서울특별시,구로구,159357,,,
1011772,0.022535196,0.532,경기도,화성시,106864,2632,,1014715,0.000488586,0.014,서울특별시,구로구,159357,,,
1011773,0.198958556,8.018,경기도,화성시,106864,2632,,1014716,0.00037361,0.014,서울특별시,구로구,159357,,,
1011774,0.218941575,8.018,경기도,화성시,106864,2632,,1014736,0.001414508,0.033,서울특별시,구로구,159357,,,
1011775,0.045618014,1.529,경기도,화성시,106864,2632,,1014737,0.000262451,0.007,서울특별시,구로구,159357,,,
1011776,0.032073819,1.529,경기도,화성시,106864,2632,,1014738,0.000307436,0.013,서울특별시,구로구,159357,,,
