LinkID,통과시간,연장
1011122,0.04352555239047086,5.596
1011123,0.002776316066248711,0.35700000000000004
1011124,0.012351472076391503,0.63
1011125,0.005596921265797699,0.498
1011126,0.006328913868839467,0.354
1011127,0.13442322885422098,11.962
1011128,0.00881126650767319,0.487
1011129,0.021492628129367905,1.086
1011130,0.02276176541823772,1.086
1011131,0.03214294530129615,1.805
1011132,0.04840391487591084,1.805
1011133,0.02013868693787483,0.805
1011135,0.022044158307681,0.495
1011158,0.004850427630858665,0.3
1011159,0.012685522822700563,0.77
1011160,0.001317976397163695,0.08
1011161,0.0038961260868110685,0.08
1011162,0.018436932402787744,0.414
1011163,0.021999624654534172,0.494
1011165,0.006923949393930766,0.364
1011166,0.08476149283418251,5.269
1011167,0.0820299593052603,3.919
1011168,0.0820299593052603,3.919
1011441,0.018754370920022075,1.071
1011442,0.026254882113903324,1.071
1011443,0.01402199396282132,0.853
1011444,0.01061579219867147,0.853
1011445,0.0037438829435587724,0.305
1011446,0.003993874482349953,0.305
1011447,0.006386196306755494,0.156
1011448,8.112908209544213e-05,0.006
1011449,9.14332218559051e-05,0.006
1011450,0.004348778976256489,0.155
1011451,0.0021696692580643663,0.053
1011452,0.0015976038214467671,0.053
1011453,0.005155573771701101,0.155
1011501,0.0054272850281085324,0.166
1011502,0.0001640091635630286,0.005
1011503,0.00015071734164592143,0.005
1011511,0.0009700564389240154,0.059
1011512,0.0007388107161351641,0.059
1011513,0.0007101912779977101,0.036000000000000004
1011529,0.001716295588494466,0.087
1011530,0.00011085465326246479,0.009000000000000001
1011531,0.00010987311950322896,0.009000000000000001
1011532,0.009014209793947727,0.735
1011533,0.008797589002922717,0.735
1011534,0.0045898206816149135,0.348
1011535,,0.047
1011536,0.005956352623283185,0.344
1011537,,0.044
1011538,0.004982028728969027,0.272
1011539,0.0006561184597187452,0.054000000000000006
1011540,0.0007053125621790846,0.03
1011541,0.0006942121159247424,0.03
1011542,0.0007183392025941451,0.057
1011543,0.04491514256816761,2.506
1011544,0.05259276566777563,2.506
1011545,0.004335617576493827,0.285
1011546,0.0008376176453016514,0.062
1011547,0.0009221392764178611,0.06
1011548,0.07405144196760548,3.539
1011549,0.04513983869825314,3.539
1011750,0.01615335170497574,0.509
1011751,0.01642104082966363,0.509
1011752,0.04257621672616396,0.981
1011753,0.013170877278510395,0.504
1011754,0.011777504956609426,0.478
1011755,0.0012664818663287941,0.065
1011756,0.07074740409412959,2.044
1011757,0.06405198389043348,2.044
1011758,0.0006521129174834169,0.015
1011759,0.0005006188297382022,0.012
1011760,0.029919109256454034,1.539
1011761,0.02497488329709336,1.539
