start,end,총시간,총거리,유출인구,정류장수,평균버스,평균승용차,평균트럭,평균교통량,버스비율,승용차비율,트럭비율,1인가구수,면적당지하철,광역버스,출근급행,총광역급행,광역비율,급행비율,남경제,남비경제,여경제,여비경제,평균속도
1084679,1039423,1.161810891,64.891,43973,1518,1912.5,94492.5,28753,125158,0.015280685,0.754985698,0.229733617,15079,0.009666194,0,0,0,0,0,0.359432163,0.147807049,0.280740165,0.212020623,55.8533239
1084679,1097318,0.739556077,29.915,43973,1518,224.5,13515.5,2970.5,16710.5,0.013434667,0.808802849,0.177762485,15079,0.009666194,0,0,0,0,0,0.359432163,0.147807049,0.280740165,0.212020623,40.44994143
1084679,1097318,0.693338727,28.671,43973,1518,202,12423.5,2747.5,15373,0.013139921,0.808137644,0.178722435,15079,0.009666194,0,0,0,0,0,0.359432163,0.147807049,0.280740165,0.212020623,41.35208215
1084683,1039817,0.377057458,16.469,43973,1518,620.5,30932,5520.5,37073,0.016737248,0.834353842,0.148908909,15079,0.009666194,0,0,0,0,0,0.359432163,0.147807049,0.280740165,0.212020623,43.67769328
1084685,1069527,0.811369127,37.808,43973,1518,294.5,17261,4672,22227.5,0.013249353,0.776560567,0.21019008,15079,0.009666194,0,0,0,0,0,0.359432163,0.147807049,0.280740165,0.212020623,46.5977799
1084693,1019902,1.043389234,45.622,43973,1518,559.5,32626.5,8256.5,41442.5,0.013500633,0.787271521,0.199227846,15079,0.009666194,0,0,0,0,0,0.359432163,0.147807049,0.280740165,0.212020623,43.72481382
1084700,1019902,1.03149335,45.36,43973,1518,553.5,32409,8171.5,41134,0.013456022,0.787888365,0.198655613,15079,0.009666194,0,0,0,0,0,0.359432163,0.147807049,0.280740165,0.212020623,43.97507749
1084705,1039880,0.808853493,32.617,43973,1518,1287,60056.5,16406,77749.5,0.016553161,0.772435836,0.211011003,15079,0.009666194,0,0,0,0,0,0.359432163,0.147807049,0.280740165,0.212020623,40.32497885
1084705,1089433,0.432895894,21.098,43973,1518,1476.5,63526,17083.5,82086,0.017987233,0.77389567,0.208117097,15079,0.009666194,0,0,0,0,0,0.359432163,0.147807049,0.280740165,0.212020623,48.736891
1084705,1097891,0.633850493,26.56,43973,1518,1727,74666.5,19934,96327.5,0.017928421,0.775131712,0.206939867,15079,0.009666194,0,0,0,0,0,0.359432163,0.147807049,0.280740165,0.212020623,41.90262577
1084705,1039880,0.813412425,32.075,43973,1518,983,45609,11887.5,58479.5,0.016809309,0.779914329,0.203276362,15079,0.009666194,0,0,0,0,0,0.359432163,0.147807049,0.280740165,0.212020623,39.43264083
1084708,1040118,0.480089833,22.102,43973,1518,1416.5,60990,15971.5,78378,0.018072673,0.778152032,0.203775294,15079,0.009666194,0,0,0,0,0,0.359432163,0.147807049,0.280740165,0.212020623,46.03721737
1084708,1069716,0.795046778,31.815,43973,1518,2245,101322,25241,128808,0.017429042,0.786612633,0.195958326,15079,0.009666194,0,0,0,0,0,0.359432163,0.147807049,0.280740165,0.212020623,40.01651334
1084708,1069716,0.794829573,31.818,43973,1518,2205,98818,24660.5,125683.5,0.017544069,0.786244813,0.196211118,15079,0.009666194,0,0,0,0,0,0.359432163,0.147807049,0.280740165,0.212020623,40.03122315
1084715,1039880,0.831225299,33.29,43973,1518,987,45839.5,11991.5,58818,0.016780577,0.779344758,0.203874664,15079,0.009666194,0,0,0,0,0,0.359432163,0.147807049,0.280740165,0.212020623,40.04931039
1084722,1095723,0.695217743,26.706,43973,1518,827.5,42157.5,8406,51391,0.016102041,0.820328462,0.163569497,15079,0.009666194,0,0,0,0,0,0.359432163,0.147807049,0.280740165,0.212020623,38.41386424
1084726,1090973,0.622606557,24.354,43973,1518,897.5,45697.5,8969.5,55564.5,0.016152399,0.82242259,0.161425011,15079,0.009666194,0,0,0,0,0,0.359432163,0.147807049,0.280740165,0.212020623,39.11619582
1084730,1071006,0.574499696,20.603,43973,1518,1379.5,60640.5,14516.5,76536.5,0.01802408,0.792308245,0.189667675,15079,0.009666194,0,0,0,0,0,0.359432163,0.147807049,0.280740165,0.212020623,35.8625081
1084730,1039762,0.466836537,19.109,43973,1518,623,30994.5,6296.5,37914,0.016431925,0.817494857,0.166073218,15079,0.009666194,0,0,0,0,0,0.359432163,0.147807049,0.280740165,0.212020623,40.93295722
1084730,1039765,0.470161568,19.227,43973,1518,635.5,31729,6395.5,38760,0.016395769,0.818601651,0.16500258,15079,0.009666194,0,0,0,0,0,0.359432163,0.147807049,0.280740165,0.212020623,40.89445269
1084751,1039916,0.800718156,41.195,11952,1132,1194,56708.5,19120.5,77023,0.015501863,0.736254106,0.248244031,16366,0,0,0,0,0,0,0.390051084,0.136075326,0.262977846,0.210895744,51.44756578
1084783,1040015,0.481486864,23.301,11952,1132,743.5,31391,7859.5,39994,0.018590289,0.784892734,0.196516978,16366,0,0,0,0,0,0,0.390051084,0.136075326,0.262977846,0.210895744,48.39384362
1084785,1070455,1.53949397,53.912,11952,1132,3796,173756.5,35659,213211.5,0.017803918,0.814949006,0.167247076,16366,0,0,0,0,0,0,0.390051084,0.136075326,0.262977846,0.210895744,35.01929923
1084786,1018487,1.187954995,48.499,11952,1132,2880.5,127651,31017.5,161549,0.017830503,0.790168927,0.192000569,16366,0,0,0,0,0,0,0.390051084,0.136075326,0.262977846,0.210895744,40.82562067
1084797,1089433,0.602950151,27.708,11952,1132,1884,75602.5,19532.5,97019,0.019418877,0.779254579,0.201326544,16366,0,0,0,0,0,0,0.390051084,0.136075326,0.262977846,0.210895744,45.9540477
1084798,1096588,0.887401854,41.144,11952,1132,1282.5,61382.5,20025,82690,0.015509735,0.742320716,0.242169549,16366,0,0,0,0,0,0,0.390051084,0.136075326,0.262977846,0.210895744,46.36456394
1084798,1096588,0.863311072,40.57,11952,1132,1275,61060,19903.5,82238.5,0.015503687,0.742474632,0.242021681,16366,0,0,0,0,0,0,0.390051084,0.136075326,0.262977846,0.210895744,46.99348973
1084803,1069501,0.860841521,37.638,11952,1132,2706.5,115398,29337,147441.5,0.018356433,0.782669737,0.19897383,16366,0,0,0,0,0,0,0.390051084,0.136075326,0.262977846,0.210895744,43.72233342
