TPath,TPCnt,TLinkCnt,TPCnt_group,start,end,LinkID_x,시도명_x,시군구명_x,읍면동명_x,LinkID_y,시도명_y,시군구명_y,읍면동명_y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,총시간,총거리,평균시간,등급,LinkID,유출인구,정류장수,버스,승용차,전체
"1096034,1015319,1015036,1015032,1015303,1015302,0,1015299,1014763,1014760,1070107,1097187,1098100",21,13,10_50,1096034,1098100,1096034,경기도,부천시오정구,원종1동,1098100,서울특별시,구로구,오류2동,1096034,1015319,1015036,1015032,1015303,1015302,0,1015299,1014763,1014760,1070107,1097187,1098100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.326994521,9.794,29.95157219,1,1096034,226983,1162,124,11204.5,13190.5
1.0899E+111,62,16,50_100,1089878,1070147,1089878,경기도,고양시덕양구,화전동,1070147,서울특별시,강서구,우장산동,1089878,1019909,1019758,1019684,1019681,1019491,1015229,1015224,1015217,1015219,1014871,1096059,1014878,1014860,1014863,1070147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.324161487,9.708,29.94803636,1,1089878,106270.0408,1032,335,19012.5,22852.5
"1091061,1096259,1087655,1017195,0,1087655,0,1017189,1017194,1018246,1018248,1038501,1038458,1038459,1038583,1038472,1038471,1038429,1038431,1038506,1018148,1018136,1017929,1017903,1038528,1087877,1038593,1038591,1068261,1038491,1090711,1070454,0,1070429,1070451,0,1038450,1038209,1038210",31,39,10_50,1091061,1038210,1091061,경기도,안양시동안구,관양2동,1038210,서울특별시,강남구,도곡1동,1091061,1096259,1087655,1017195,0,1087655,0,1017189,1017194,1018246,1018248,1038501,1038458,1038459,1038583,1038472,1038471,1038429,1038431,1038506,1018148,1018136,1017929,1017903,1038528,1087877,1038593,1038591,1068261,1038491,1090711,1070454,0,1070429,1070451,0,1038450,1038209,1038210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58641648,17.562,29.94799873,1,1091061,97639.64995,346,2064.5,82002,95612
"1089021,0,1097126,1089026,1015302,1096047",15,6,10_50,1089021,1096047,1089021,경기도,부천시소사구,괴안동,1096047,서울특별시,구로구,수궁동,1089021,0,1097126,1089026,1015302,1096047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.190213878,5.695,29.93998156,1,1089021,226983,1162,35,3889,4530.5
"1094355,1015419,1015416,1015885,1015878,1015875,1094358,1015420,1015476,1015479,1015475,1015473,1015482,1067354,1094412,1094414,1019873,1019870,1019859,1070166,1096651,1019889,0,1019888,1098210,1098247,1098245,1098248,1098210,1098177,1069627,1069638,1069637,1097320,1069618,1069647,0,1069643,1069676,1018333,1069674",11,41,10_50,1094355,1069674,1094355,경기도,고양시일산동구,식사동,1069674,서울특별시,종로구,종로1·2·3·4가동,1094355,1015419,1015416,1015885,1015878,1015875,1094358,1015420,1015476,1015479,1015475,1015473,1015482,1067354,1094412,1094414,1019873,1019870,1019859,1070166,1096651,1019889,0,1019888,1098210,1098247,1098245,1098248,1098210,1098177,1069627,1069638,1069637,1097320,1069618,1069647,0,1069643,1069676,1018333,1069674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.883740472,26.459,29.93978531,1,1094355,69555.94958,610,718,43088.5,52406
1.0899E+118,16,17,10_50,1089878,1014897,1089878,경기도,고양시덕양구,화전동,1014897,서울특별시,강서구,화곡6동,1089878,1019909,1019758,1019684,1019681,1019491,1015229,1015224,1015217,1015219,1014871,1096059,1096751,1014893,1014883,1014885,1014897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255279418,7.643,29.93974234,1,1089878,106270.0408,1032,381.5,22757.5,27275.5
"1095537,1041167,1095551,1098225,1098255,1041137,1041011,1041009,1087370,1041210,0,1041201,1098465,1087374,1041037,1041042,1041044,1041120,1041117,1041123,1070404,1038262,1070380,1038263,1038302,1038303",10,26,0_10,1095537,1038303,1095537,경기도,성남시중원구,상대원2동,1038303,서울특별시,송파구,가락본동,1095537,1041167,1095551,1098225,1098255,1041137,1041011,1041009,1087370,1041210,0,1041201,1098465,1087374,1041037,1041042,1041044,1041120,1041117,1041123,1070404,1038262,1070380,1038263,1038302,1038303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.377215972,11.293,29.93775672,1,1095537,55266.53612,290,568.5,39918.5,48359
"1098754,1100976,1096010,0,1089026,1089028,0,1096033,1089055,1015065,1096990,1014907,0,1096068,1096070",11,15,10_50,1098754,1096070,1098754,경기도,부천시소사구,역곡3동,1096070,서울특별시,강서구,발산1동,1098754,1100976,1096010,0,1089026,1089028,0,1096033,1089055,1015065,1096990,1014907,0,1096068,1096070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.327082535,9.789,29.92822591,1,1098754,226983,1162,80,8998,10680
1.09583E+41,16,6,10_50,1095829,1039919,1095829,경기도,구리시,갈매동,1039919,서울특별시,노원구,공릉1동,1095829,1039916,1039909,1039904,1069475,1039919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15075357,4.511,29.92300614,1,1095829,58448,310,160,8717,10757.5
"1087802,1087804,1014583,1014584,1014755,1015310,1015040,1015351,0,1014992,1097722,1097726,1097730,1014991,1014989,1014997,1014995",12,17,10_50,1087802,1014995,1087802,경기도,광명시,철산2동,1014995,서울특별시,강서구,화곡4동,1087802,1087804,1014583,1014584,1014755,1015310,1015040,1015351,0,1014992,1097722,1097726,1097730,1014991,1014989,1014997,1014995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225192966,6.738,29.92100561,1,1087802,109992,443,191,20271.5,24336.5
