건강보험심사평가원 질병별 진료 통계,1702,122,건강보험심사평가원,중점데이터,https://www.data.go.kr/dataset/3039508/openapi.do
대중교통환승경로 조회 서비스,1698,895,서울특별시,교통물류,https://www.data.go.kr/dataset/15000414/openapi.do
전국 병‧의원 찾기 서비스,1688,339,국립중앙의료원,보건의료,https://www.data.go.kr/dataset/15000736/openapi.do
일간전력수요예측,1660,160,한국전력거래소,산업고용,https://www.data.go.kr/dataset/3043732/openapi.do
국토지리정보원 지도서비스,1574,598,국토교통부 국토지리정보원,국토관리,https://www.data.go.kr/dataset/15000662/openapi.do
조달청_조달정보 종합분석정보,1556,129,조달청,중점데이터,https://www.data.go.kr/dataset/3036696/openapi.do
국토교통부_버스도착정보,1524,1151,국토교통부,교통물류,https://www.data.go.kr/dataset/15000757/openapi.do
축산물품질평가원 축산물등급판정정보,1508,408,축산물품질평가원,농축수산,https://www.data.go.kr/dataset/15000825/openapi.do
고속도로 휴게소 현황,1475,327,한국도로공사,교통물류,https://www.data.go.kr/dataset/15001274/openapi.do
조달청_낙찰정보,1474,38,조달청,중점데이터,https://www.data.go.kr/dataset/15000591/openapi.do
조달청_낙찰정보,1474,38,조달청,중점데이터,https://www.data.go.kr/dataset/15000591/openapi.do
한국수출입은행 환율 정보,1471,3120,한국수출입은행,재정금융,https://www.data.go.kr/dataset/3068846/openapi.do
전력시장가격 정보,1469,216,한국전력거래소,산업고용,https://www.data.go.kr/dataset/3043737/openapi.do
전국 약국 정보 조회 서비스,1468,335,국립중앙의료원,보건의료,https://www.data.go.kr/dataset/15000576/openapi.do
자연재해 복구비 지원현황,1448,23,행정안전부,재난안전,https://www.data.go.kr/dataset/3038741/openapi.do
수산물 수협 물류센터/공판장 재고정보,1443,39,해양수산부,중점데이터,https://www.data.go.kr/dataset/15012419/openapi.do
주택건설사업계획승인 정보,1420,91,국토교통부,중점데이터,https://www.data.go.kr/dataset/15004814/openapi.do
한국동서발전 대기오염 물질 배출량,1383,51,한국동서발전(주),산업고용,https://www.data.go.kr/dataset/3071438/openapi.do
수질 DB,1381,45,환경부 국립환경과학원,환경기상,https://www.data.go.kr/dataset/3038417/openapi.do
예보구역정보조회,1375,442,기상청,중점데이터,https://www.data.go.kr/dataset/15000393/openapi.do
제주특별자치도_제주도 관광산업 빅데이터 분석정보,1358,221,제주특별자치도,산업고용,https://www.data.go.kr/dataset/15013177/openapi.do
고속도로 세부교통량 현황,1349,147,한국도로공사,교통물류,https://www.data.go.kr/dataset/15001318/openapi.do
조달청_나라장터 수요기관 및 조달업체 정보,1306,177,조달청,중점데이터,https://www.data.go.kr/dataset/3070349/openapi.do
지하철 주변 주요시설 정보,1298,57,서울교통공사,교통물류,https://www.data.go.kr/dataset/15003118/openapi.do
육군 신체측정정보,1288,179,국방부,통일외교안보,https://www.data.go.kr/dataset/3034732/openapi.do
해양기상관측,1264,805,기상청,중점데이터,https://www.data.go.kr/dataset/3036166/openapi.do
한국동서발전 연료 소비 현황,1260,21,한국동서발전(주),산업고용,https://www.data.go.kr/dataset/3071449/openapi.do
