통계청행정동코드,행자부행정동코드,시도명,시군구명,행정동명
H_SDNG_CD,H_DNG_CD,DO_NM,CT_NM,H_DNG_NM
1110052,11320670,서울,도봉구,쌍문2동
1110053,11320680,서울,도봉구,쌍문3동
1110054,11320681,서울,도봉구,쌍문4동
1110055,11320690,서울,도봉구,방학1동
1110056,11320700,서울,도봉구,방학2동
1110057,11320710,서울,도봉구,방학3동
1110059,11320511,서울,도봉구,창1동
1110060,11320512,서울,도봉구,창2동
1110061,11320513,서울,도봉구,창3동
1110062,11320514,서울,도봉구,창4동
1110063,11320515,서울,도봉구,창5동
1110064,11320521,서울,도봉구,도봉1동
1110065,11320522,서울,도봉구,도봉2동
1111051,11350560,서울,노원구,월계1동
1111052,11350570,서울,노원구,월계2동
1111053,11350580,서울,노원구,월계3동
1111056,11350600,서울,노원구,공릉2동
1111058,11350611,서울,노원구,하계1동
1111059,11350612,서울,노원구,하계2동
1111060,11350619,서울,노원구,중계본동
1111061,11350621,서울,노원구,중계1동
1111064,11350624,서울,노원구,중계4동
1111065,11350630,서울,노원구,상계1동
1111066,11350640,서울,노원구,상계2동
1111069,11350670,서울,노원구,상계5동
1111072,11350700,서울,노원구,상계8동
1111073,11350710,서울,노원구,상계9동
1111074,11350720,서울,노원구,상계10동
1111076,11350665,서울,노원구,상계3.4동
1111077,11350695,서울,노원구,상계6.7동
1111078,11350625,서울,노원구,중계2.3동
1111079,11350595,서울,노원구,공릉1동
1112051,11380510,서울,은평구,녹번동
1112052,11380520,서울,은평구,불광1동
1112055,11380551,서울,은평구,갈현1동
1112056,11380552,서울,은평구,갈현2동
1112057,11380560,서울,은평구,구산동
1112058,11380570,서울,은평구,대조동
1112059,11380580,서울,은평구,응암1동
1112060,11380590,서울,은평구,응암2동
1112065,11380631,서울,은평구,신사1동
1112066,11380632,서울,은평구,신사2동
1112067,11380640,서울,은평구,증산동
1112068,11380650,서울,은평구,수색동
1112071,11380690,서울,은평구,진관동
1112072,11380530,서울,은평구,불광2동
1112073,11380600,서울,은평구,응암3동
1112074,11380625,서울,은평구,역촌동
1113052,11410520,서울,서대문구,천연동
1113062,11410620,서울,서대문구,홍제1동
1113064,11410640,서울,서대문구,홍제3동
1113065,11410655,서울,서대문구,홍제2동
1113066,11410660,서울,서대문구,홍은1동
1113068,11410685,서울,서대문구,홍은2동
1113069,11410690,서울,서대문구,남가좌1동
1113070,11410700,서울,서대문구,남가좌2동
1113071,11410710,서울,서대문구,북가좌1동
1113072,11410720,서울,서대문구,북가좌2동
1113073,11410565,서울,서대문구,충현동
1113074,11410555,서울,서대문구,북아현동
1113075,11410585,서울,서대문구,신촌동
1113076,11410615,서울,서대문구,연희동
1114059,11440590,서울,마포구,용강동
1114060,11440600,서울,마포구,대흥동
1114061,11440610,서울,마포구,염리동
1114063,11440630,서울,마포구,신수동
1114066,11440660,서울,마포구,서교동
1114068,11440680,서울,마포구,합정동
1114069,11440690,서울,마포구,망원1동
1114070,11440700,서울,마포구,망원2동
1114071,11440710,서울,마포구,연남동
1114072,11440720,서울,마포구,성산1동
1114073,11440730,서울,마포구,성산2동
1114074,11440740,서울,마포구,상암동
1114075,11440585,서울,마포구,도화동
1114076,11440655,서울,마포구,서강동
1114077,11440565,서울,마포구,공덕동
1114078,11440555,서울,마포구,아현동
1115051,11470510,서울,양천구,목1동
1115052,11470520,서울,양천구,목2동
1115053,11470530,서울,양천구,목3동
1115054,11470540,서울,양천구,목4동
1115057,11470560,서울,양천구,신월1동
1115058,11470570,서울,양천구,신월2동
1115059,11470580,서울,양천구,신월3동
1115060,11470590,서울,양천구,신월4동
1115061,11470600,서울,양천구,신월5동
1115062,11470610,서울,양천구,신월6동
1115063,11470611,서울,양천구,신월7동
1115064,11470620,서울,양천구,신정1동
1115065,11470630,서울,양천구,신정2동
1115066,11470640,서울,양천구,신정3동
1115069,11470670,서울,양천구,신정6동
1115070,11470680,서울,양천구,신정7동
1115071,11470550,서울,양천구,목5동
1115072,11470650,서울,양천구,신정4동
1116051,11500510,서울,강서구,염창동
1116052,11500520,서울,강서구,등촌1동
1116053,11500530,서울,강서구,등촌2동
1116054,11500535,서울,강서구,등촌3동
1116055,11500590,서울,강서구,화곡본동
1116057,11500550,서울,강서구,화곡2동
1116058,11500560,서울,강서구,화곡3동
1116059,11500570,서울,강서구,화곡4동
1116061,11500591,서울,강서구,화곡6동
1116063,11500593,서울,강서구,화곡8동
1116064,11500603,서울,강서구,가양1동
1116065,11500604,서울,강서구,가양2동
1116066,11500605,서울,강서구,가양3동
1116067,11500611,서울,강서구,발산1동
1116069,11500620,서울,강서구,공항동
1116070,11500630,서울,강서구,방화1동
1116071,11500640,서울,강서구,방화2동
1116072,11500641,서울,강서구,방화3동
1116073,11500540,서울,강서구,화곡1동
1116074,11500615,서울,강서구,우장산동
1117051,11530510,서울,구로구,신도림동
1117052,11530520,서울,구로구,구로1동
1117054,11530540,서울,구로구,구로3동
1117055,11530550,서울,구로구,구로4동
1117056,11530560,서울,구로구,구로5동
1117061,11530720,서울,구로구,고척1동
1117062,11530730,서울,구로구,고척2동
1117064,11530750,서울,구로구,개봉2동
1117065,11530760,서울,구로구,개봉3동
1117067,11530770,서울,구로구,오류1동
1117068,11530780,서울,구로구,오류2동
1117069,11530790,서울,구로구,수궁동
1117070,11530595,서울,구로구,가리봉동
1117071,11530530,서울,구로구,구로2동
1117072,11530740,서울,구로구,개봉1동
1118051,11545510,서울,금천구,가산동
1118052,11545610,서울,금천구,독산1동
1118053,11545620,서울,금천구,독산2동
1118054,11545630,서울,금천구,독산3동
1118055,11545640,서울,금천구,독산4동
1118057,11545670,서울,금천구,시흥1동
1118058,11545680,서울,금천구,시흥2동
1118059,11545690,서울,금천구,시흥3동
1118060,11545700,서울,금천구,시흥4동
1118061,11545710,서울,금천구,시흥5동
1119054,11560540,서울,영등포구,여의동
1119055,11560550,서울,영등포구,당산1동
1119056,11560560,서울,영등포구,당산2동
1119061,11560610,서울,영등포구,양평1동
1119062,11560620,서울,영등포구,양평2동
1119063,11560630,서울,영등포구,신길1동
1119065,11560650,서울,영등포구,신길3동
1119066,11560660,서울,영등포구,신길4동
1119067,11560670,서울,영등포구,신길5동
1119068,11560680,서울,영등포구,신길6동
1119069,11560690,서울,영등포구,신길7동
1119070,11560700,서울,영등포구,대림1동
1119071,11560710,서울,영등포구,대림2동
1119072,11560720,서울,영등포구,대림3동
1119073,11560515,서울,영등포구,영등포본동
1119074,11560535,서울,영등포구,영등포동
1119075,11560585,서울,영등포구,도림동
1119076,11560605,서울,영등포구,문래동
1120052,11590520,서울,동작구,노량진2동
1120053,11590530,서울,동작구,상도1동
1120054,11590540,서울,동작구,상도2동
1120055,11590550,서울,동작구,상도3동
1120056,11590560,서울,동작구,상도4동
1120063,11590620,서울,동작구,사당1동
1120065,11590640,서울,동작구,사당3동
1120066,11590650,서울,동작구,사당4동
1120067,11590651,서울,동작구,사당5동
1120068,11590660,서울,동작구,대방동
1120069,11590670,서울,동작구,신대방1동
1120070,11590680,서울,동작구,신대방2동
1120071,11590605,서울,동작구,흑석동
1120072,11590510,서울,동작구,노량진1동
1120073,11590630,서울,동작구,사당2동
1121052,11620525,서울,관악구,보라매동
1121054,11620545,서울,관악구,청림동
1121057,11620575,서울,관악구,행운동
1121058,11620585,서울,관악구,낙성대동
1121061,11620615,서울,관악구,중앙동
1121062,11620625,서울,관악구,인헌동
1121063,11620630,서울,관악구,남현동
1121064,11620645,서울,관악구,서원동
1121065,11620655,서울,관악구,신원동
1121066,11620665,서울,관악구,서림동
1121068,11620685,서울,관악구,신사동
1121069,11620695,서울,관악구,신림동
1121071,11620715,서울,관악구,난향동
1121072,11620725,서울,관악구,조원동
1121073,11620735,서울,관악구,대학동
1121078,11620605,서울,관악구,은천동
1121079,11620565,서울,관악구,성현동
1121080,11620595,서울,관악구,청룡동
1121081,11620775,서울,관악구,난곡동
