dong,news,inout,age,person_num,total_comp
고척1동,9,0.277638859,0,37592,3619
고척1동,2,0.293455628,0,37941,3816
고척1동,13,0.280475614,0,38014,3790
고척2동,3.5,0.292583072,0,21006,4255
고척2동,8,0.260362878,2,21109,4612
고척2동,7,0.384726018,3,20859,4884
고척2동,14,0.311808335,3,16988,5112
고척2동,7,0.487294388,1,18299,8242
고척2동,12,0.471407505,1,18309,7971
고척2동,14,0.462738391,1,19296,8248
고척2동,20,0.492710901,1,18658,9003
공덕동,30,0.250007938,0,31495,2327
공덕동,20,0.264983823,0,31217,1988
공덕동,17,0.251704417,0,30949,2320
공덕동,22,0.256323777,3,30836,2474
공덕동,30,0.261171632,0,17992,1642
공덕동,20,0.277126591,0,17916,1685
공덕동,17,0.262361309,0,17575,2075
공덕동,22,0.282874004,0,17453,2058
공릉1동,1,0.317050902,4,4381,1179
공릉1동,1,0.251445813,4,3977,1253
공릉1동,1,0.29885357,4,3838,1370
공릉1동,15,2.314894765,4,3706,1535
공릉1동,1,0.280374427,0,31408,4110
공릉1동,1,0.277628903,0,30973,4268
공릉1동,1,0.270818961,0,30441,4246
공릉1동,15,0.334238103,3,29105,4170
공릉2동,4,0.407594937,4,8295,15775
공릉2동,11.75,0.435912793,4,8348,20356
공릉2동,6.75,0.414455842,4,8481,15728
공릉2동,5,0.43062812,4,8613,16467
공릉2동,1,0.432051562,2,18308,5538
공릉2동,1,0.446063185,2,18327,5952
공릉2동,0,0.420526201,2,18396,5656
공릉2동,1,0.451248773,2,18338,6397
공항동,39,0.3138833,4,5964,4487
공항동,1.666666667,0.385515224,4,5813,5035
공항동,3.333333333,1.470540497,4,6161,5745
공항동,7.333333333,0.703127252,0,13878,8681
공항동,4.5,0.330962474,2,35149,10811
공항동,7,0.303405573,2,34884,11058
공항동,2.5,0.324500992,2,34268,11480
공항동,6.5,0.356935646,2,33782,9726
관악신사동,1,0.325739385,1,17075,5119
관악신사동,0,0.308119194,1,16578,5138
관악신사동,1,0.314716368,4,15989,5049
관악신사동,6,0.316593189,4,15651,7140
관악신사동,0,0.309952215,2,33902,7024
관악신사동,2,0.319101796,2,33400,8097
관악신사동,2,0.329167569,2,32327,8681
관악신사동,39,0.45798416,2,30429,9221
광장동,40,0.469802343,2,27320,37939
광장동,50,0.443554452,2,26592,38902
광장동,127,0.457091685,2,26242,39621
광장동,152,0.458527056,2,25595,43779
광장동,40,0.421155687,2,22982,53983
광장동,50,0.403853768,2,22731,56495
광장동,127,0.42868604,2,22436,58376
광장동,152,0.459774599,2,23070,65282
광희동,36,0.402849855,2,11369,4237
광희동,43,0.400438789,2,11395,4466
광희동,36,0.402811736,2,11452,4774
광희동,43,0.415409808,2,11603,5680
광희동,0,0.332004858,2,84809,49427
광희동,0,0.057643694,2,84259,7855
광희동,0,0.30338035,2,16448,8828
광희동,0,0.302708346,2,16283,9640
교남동,1,0.297907751,0,21030,9558
교남동,3,0.292186282,0,20528,10111
교남동,1,0.663283406,3,20296,9932
교남동,22,0.342267731,2,26564,10292
교남동,1,0.22491999,0,32496,5342
교남동,3,0.243275181,0,32157,5735
교남동,1,0.291355662,0,31350,5854
교남동,22,0.265004832,0,30007,6140
구로1동,0,0.362031006,2,21802,18431
구로1동,0,0.342862525,2,21233,16953
구로1동,0.333333333,0.350882186,2,21084,16705
구로1동,1.666666667,0.370704225,2,21300,18382
구로1동,2.25,0.327926209,2,34584,16306
구로1동,4.25,0.350423411,2,34718,16477
구로1동,3.75,0.344051898,2,35608,19037
구로1동,7.25,0.365147092,2,35624,21386
구로2동,5,0.237520468,0,21375,5240
구로2동,3,0.272207897,3,19779,4079
구로2동,18,0.254456305,4,19579,4219
구로2동,32,0.258616222,4,19295,4432
구로2동,5,0.215455691,2,26191,4965
구로2동,3,0.207616272,3,25393,4437
구로2동,18,0.203110594,4,24947,4491
구로2동,32,0.188399528,4,25430,4663
구로3동,5,0.256843206,0,32514,9554
구로3동,3,0.260843657,0,31885,10781
구로3동,18,0.254824672,2,31712,10566
구로3동,32,0.25265118,4,31684,10764
구로3동,2,0.299474135,0,40885,12649
구로3동,3,0.30074636,0,40865,12717
구로3동,12,0.299770376,0,40501,12250
구로3동,5,0.323590762,0,40270,11904
구로4동,0,0.331960643,2,31811,7450
구로4동,1,0.350703572,2,32335,7174
구로4동,1,0.336968543,2,32552,7530
구로4동,2,0.378922956,2,33202,8130
구로4동,104,0.287402517,0,20901,6289
구로4동,94,0.283567525,0,20496,6550
구로4동,111,0.31058904,0,20474,6993
구로4동,189,0.489490559,0,19649,7103
구로5동,104,0.293098269,0,43279,48576
구로5동,94,0.287590083,0,42877,50271
구로5동,111,0.311854345,0,42786,46484
구로5동,189,0.317360235,0,42822,51945
구로5동,104,0.492846571,2,22297,31940
구로5동,94,0.496585191,3,22256,26790
구로5동,111,0.496699151,3,22267,28568
구로5동,189,0.520990802,3,21962,29049
구산동,30,0.480165954,1,23621,10394
구산동,20,0.453100029,1,24403,11988
구산동,17,0.477403967,1,23898,12397
구산동,22,0.482421627,1,23637,12777
구산동,0,0.378459237,1,16044,16141
구산동,1,0.368126337,1,15894,10395
구산동,4.666666667,0.473690644,1,16363,10673
구산동,12.33333333,0.453126883,1,16598,11034
구의1동,34,0.301312291,0,23318,13664
구의1동,24,0.300265645,0,22963,14298
구의1동,97,0.315011124,0,22923,15962
구의1동,58,0.33708257,0,22938,19542
구의1동,34,0.284907136,0,34513,16951
구의1동,24,0.310090167,0,34935,18453
구의1동,97,0.292863347,0,35689,21387
구의1동,58,0.310214482,0,35714,22083
구의2동,3,0.287770105,2,22445,2812
구의2동,1,0.297941744,2,21766,3138
구의2동,1,0.384086399,2,21667,2924
구의2동,3,0.283629442,2,23640,3342
구의2동,4,0.276346791,4,25041,5316
구의2동,3,0.280887873,4,24508,5496
구의2동,1,0.270942517,4,24042,5669
구의2동,1,0.291073084,4,23726,5804
구의3동,4,0.284412955,0,31616,5486
구의3동,3,0.282951817,4,31235,6126
구의3동,1,0.267795394,4,30654,6561
구의3동,1,0.281993998,4,29990,6738
구의3동,1,0.276364699,0,23943,14457
구의3동,1,0.283984244,0,23864,14318
구의3동,1,0.28528981,0,23895,15214
구의3동,4,0.319109936,2,23459,16220
군자동,23,0.323683433,2,37237,20363
군자동,79,0.329745042,2,35300,18814
군자동,121,0.347722864,2,34539,22377
군자동,96,0.352651548,2,34527,24185
군자동,23,0.274302135,3,24360,3454
군자동,79,0.270996175,3,24052,3323
군자동,121,0.253154972,3,23772,3158
군자동,96,0.270294267,4,23652,3287
금호1가동,23,0.247943706,3,31975,8752
금호1가동,79,0.245810407,3,31805,8511
금호1가동,121,0.242214971,4,31567,8007
금호1가동,96,0.228801442,4,32172,8294
금호1가동,23,0.289931238,3,20360,3406
금호1가동,79,0.277456647,3,20241,3096
금호1가동,121,0.258391608,3,20020,3430
금호1가동,96,0.252244613,3,20048,3598
금호2.3가동,5,0.26231257,0,16873,1395
금호2.3가동,1,0.245998315,0,16618,1383
금호2.3가동,20,0.276810884,0,16318,1514
금호2.3가동,6,0.335227946,0,16890,1764
금호2.3가동,5,0.262386631,0,23816,1797
금호2.3가동,1,0.285197634,0,23503,1716
금호2.3가동,20,0.254121516,0,23717,2040
금호2.3가동,6,0.287474679,0,23696,1917
금호4가동,0.625,0.415340774,1,16844,7957
금호4가동,0.25,0.408558952,1,17175,10170
금호4가동,2.5,0.432222945,1,16901,9677
금호4가동,0.75,0.428144064,1,17048,10276
금호4가동,0,0.332004858,2,84809,49427
금호4가동,0,0.040090673,2,84259,3294
금호4가동,0,0.306802098,0,12011,3929
금호4가동,0,0.278507664,0,11874,3822
길동,0,0.28991989,0,20347,1390
길동,6,0.272159119,0,20161,1318
길동,1,0.287904772,0,19826,1379
길동,16,0.319643132,0,19503,1361
길동,0,0.283707206,0,29823,9051
길동,6,0.266522576,0,29611,9104
길동,1,0.26569348,0,29662,8993
길동,16,0.29331023,0,29433,9063
길음1동,6,0.372470178,2,22383,9851
길음1동,13,0.368450901,2,22923,10265
길음1동,13,0.405552461,2,23341,12754
길음1동,42,0.416197488,2,23090,15416
길음1동,6,0.28502136,0,22472,3051
길음1동,13,0.282961233,0,22261,3351
길음1동,13,0.305212154,0,22083,3267
길음1동,42,0.340271077,0,21765,3485
길음2동,6,0.230610189,0,37726,17135
길음2동,13,0.22390419,0,37324,19501
길음2동,13,0.25642766,0,36833,19280
길음2동,42,0.244323241,4,35936,20629
길음2동,5,0.268036495,0,26086,12260
길음2동,21,0.262900408,0,25755,10974
길음2동,4,0.287166155,0,25386,11488
길음2동,18,0.296534732,0,25164,12544
낙성대동,3,0.267649687,0,24618,2106
낙성대동,0,0.265539737,0,24373,2057
낙성대동,2,0.257615613,0,23570,2155
낙성대동,3,0.299360857,0,23156,2313
낙성대동,3,0.279585411,0,22866,4128
낙성대동,0,0.263474388,0,22450,3993
낙성대동,2,0.265174129,0,22110,4552
낙성대동,3,0.307522531,4,21748,4657
난곡동,0,0.322477064,0,19620,3655
난곡동,4,0.317398038,0,19370,3543
난곡동,0,0.340840054,4,19094,3486
난곡동,3,0.355478168,4,18665,3471
난곡동,0,0.308291807,0,34516,10966
난곡동,4,0.282328755,4,35023,9831
난곡동,0,0.303107904,4,34364,11139
난곡동,3,0.298342867,4,33914,10699
난향동,3,0.338701923,2,24960,3790
난향동,6,0.333906423,2,24429,4690
난향동,1,0.344244634,2,24134,4926
난향동,6,0.362451108,2,23010,4751
난향동,3,0.293508415,0,21628,3572
난향동,6,0.300850444,0,21283,3392
난향동,1,0.306440131,0,21071,4265
난향동,6,0.312890403,0,21132,5079
남가좌1동,8,0.280370268,0,28844,6030
남가좌1동,9,0.293139953,3,28338,6140
남가좌1동,15,0.27683195,3,28194,6127
남가좌1동,19,0.30945487,3,27975,5844
남가좌1동,8,0.315909015,0,29939,8174
남가좌1동,9,0.316851871,3,29427,7685
남가좌1동,15,0.331252156,4,28990,7977
남가좌1동,19,0.337381682,4,28736,8069
남가좌2동,8,0.322680412,2,23280,3433
남가좌2동,9,0.298300735,2,22598,3407
남가좌2동,15,0.305516459,2,22025,3630
남가좌2동,19,0.372804585,3,21636,3530
남가좌2동,8,0.298717333,0,14579,3596
남가좌2동,9,0.30174651,3,14257,3740
남가좌2동,15,0.301393728,3,13776,3557
남가좌2동,19,0.390702864,4,13445,3204
남영동,8,0.286923048,2,26237,3786
남영동,9,0.288037166,2,25830,4122
남영동,15,0.303606064,4,25263,4227
남영동,19,0.339605915,4,24817,4048
