10,0.377402928,0,15710,10668
11,0.376464627,0,15789,10718
15,0.759810905,0,15442,10371
19,1.394076841,4,3748,11184
21,0.491014121,4,1558,11147
10,0.313686914,0,36597,10954
11,0.318498219,0,36490,10124
15,0.280877812,0,36272,9247
19,0.254402481,0,36116,8739
21,0.278211636,0,35854,9289
10,0.349478218,0,30185,29456
11,0.360187539,0,30287,28392
15,0.334699454,0,30012,29940
19,0.310123836,0,29959,28071
21,0.315681182,0,29647,27317
18,0.194230769,3,22880,2525
0,0.193177511,3,23745,2581
1,0.181416127,3,22385,2669
10,0.182331945,4,20172,2877
7,0.178793211,4,19324,2766
37,0.34555103,2,24309,119839
16,0.333450525,1,25599,133377
24,0.316970715,1,24996,132931
23,0.32179132,2,23826,140007
30,0.353495479,2,23559,145604
17.5,0.294303357,0,21539,6202
10.5,0.292949261,0,21246,5759
27,0.273566407,0,20909,6086
3.5,0.357167194,0,20545,9936
9.5,0.384970278,0,22542,11384
31,0.282291498,1,18573,2727
18,0.265857904,4,18382,2830
53,0.246851801,4,18185,2961
7,0.252090935,4,17815,3293
18,0.268513768,4,17541,3140
16.5,0.292392582,0,19573,3985
13,0.288349264,2,19355,3836
30.5,0.28361653,2,19068,6091
11.5,0.270032989,2,18794,6785
10.5,0.316408367,2,18454,6697
2.5,0.316260987,0,5916,8638
16,0.300531459,0,5833,10570
1.75,0.300828778,3,5671,9661
9,0.275987621,3,5493,8218
8,0.275952694,3,5327,11506
0,0.360037003,0,27025,4934
26,0.349162218,0,26976,4968
1,0.308203825,0,26768,5562
2,0.306435176,0,26495,5136
0,0.317183807,0,26234,5083
0,0.376017791,0,27879,5363
26,0.396332362,0,28138,5173
1,0.326933165,0,28593,5927
2,0.331933785,0,29057,5495
0,0.331678117,0,29402,5861
28.5,0.375363816,0,21302,24535
46.5,0.346112184,0,21233,25537
34.5,0.325673458,2,20714,26400
37.5,0.323791601,0,20192,27047
52.5,0.330208013,2,19518,28891
2.5,0.246880963,0,20439,2147
0,0.653109437,0,31324,2789
0.5,0.19282603,0,34207,10962
3,0.238623205,0,34544,14694
2,0.201936215,0,34397,16663
11,0.287341805,0,38007,5003
4,0.312874047,0,36593,5220
3,0.248605171,0,35309,5350
