ID,1층,금액차이,Number of Records,X,Y,거래금액(만원),건축년도,계약년월,계약일,구 (국민은행시세정보!),구,단지명,도로명,동 (국민은행시세정보!),동,번지,변동액,본번,부번,국민은행시세,아파트,일반거래가,입력주소,전용면적 (국민은행시세정보!),전용면적,주택형,중간층,층,평형,하한가
2084,64800,-2500,1,309040,548210,172000,2012-01-01,201804,11~20,용산구,용산구,아스테리움 용산,한강대로30길,한강로2가,한강로2가,419,0,419,0,169500,아스테리움 용산,165500, 용산구 한강로2가 아스테리움 용산,121,121,155.42,66200,31,47,162000
2085,10200,-4300,1,309021,548063,31800,2004-01-01,201804,1~10,용산구,용산구,한강로대우아이빌,한강대로43길,한강로2가,한강로2가,11-2월,0,2,11,27500,한강로대우아이빌,26500, 용산구 한강로2가 한강로대우아이빌,30,30,42.97,10600,13,13,25500
2086,10200,-4300,1,309021,548063,31800,2004-01-01,201804,1~10,용산구,용산구,한강로대우아이빌,한강대로43길,한강로2가,한강로2가,11-2월,0,2,11,27500,한강로대우아이빌,26500, 용산구 한강로2가 한강로대우아이빌,30,30,42.97,10600,13,13,25500
2087,36000,4900,1,308286,547576,89600,2006-01-01,201804,1~10,용산구,용산구,우림필유,이촌로29길,한강로3가,한강로3가,91,0,91,0,94500,우림필유,92000, 용산구 한강로3가 우림필유,85,85,105.78,36800,12,32,90000
2088,36000,-13500,1,308286,547576,108000,2006-01-01,201804,21~30,용산구,용산구,우림필유,이촌로29길,한강로3가,한강로3가,91,0,91,0,94500,우림필유,92000, 용산구 한강로3가 우림필유,85,85,105.78,36800,12,32,90000
2089,27800,-2500,1,312280,548841,80000,2001-01-01,201804,21~30,용산구,용산구,리버탑,독서당로6길,한남동,한남동,802,0,802,0,77500,리버탑,73000, 용산구 한남동 리버탑,85,85,105.78,29200,7,32,69500
2090,16200,0,1,312280,548841,43000,2004-01-01,201804,11~20,용산구,용산구,한남동리첸시아,한남대로,한남동,한남동,1월-72,0,72,1,43000,한남동리첸시아,42000, 용산구 한남동 한남동리첸시아,38,38,46.28,16800,5,14,40500
2091,16200,0,1,312280,548841,43000,2004-01-01,201804,11~20,용산구,용산구,한남동리첸시아,한남대로,한남동,한남동,1월-72,0,72,1,43000,한남동리첸시아,42000, 용산구 한남동 한남동리첸시아,38,38,46.28,16800,8,14,40500
2092,29200,-5250,1,312280,548841,83500,2004-01-01,201804,21~30,용산구,용산구,한남동리첸시아,한남대로,한남동,한남동,1월-72,0,72,1,78250,한남동리첸시아,75500, 용산구 한남동 한남동리첸시아,73,73,95.86,30200,5,29,73000
2093,30600,-9500,1,308070,549195,89500,2010-01-01,201804,1~10,용산구,용산구,효창파크푸르지오,백범로,효창동,효창동,274,0,274,0,80000,효창파크푸르지오,78500, 용산구 효창동 효창파크푸르지오,59,59,77.11,31400,15,23,76500
